pH,EC,TDS,Temperature,DissolvedOxygen,Moisture,Label
7.4,249.1,145.7,24.6,6.42,31.7,1
6.89,245.6,175.6,24.9,6.34,30.1,1
7.52,84.5,152.2,25.2,4.88,25.7,0
8.22,260.4,208.8,27.8,6.7,30.0,1
6.81,387.9,295.8,22.8,4.21,34.9,0
6.81,147.1,138.3,22.5,5.21,28.7,1
8.26,425.8,280.1,28.7,3.6,34.2,0
7.61,358.5,137.5,23.6,7.87,21.6,1
6.62,211.9,132.2,21.2,5.72,24.0,1
7.43,283.0,265.5,23.5,8.6,22.7,1
6.63,491.8,273.8,24.0,6.96,24.3,1
6.63,388.0,268.1,29.7,6.54,42.9,1
7.19,301.1,94.7,27.8,5.3,37.3,1
5.47,271.5,162.7,28.4,4.74,19.2,0
5.62,309.2,265.8,27.5,6.63,34.4,0
6.55,238.6,203.3,27.8,5.91,26.1,1
6.19,47.4,114.1,22.9,4.39,23.2,0
7.25,545.1,236.7,24.4,4.18,15.1,0
6.27,318.6,142.8,22.0,4.85,39.7,0
5.87,347.8,343.6,24.4,8.19,16.4,0
8.17,293.1,323.6,27.1,8.66,29.5,1
6.82,211.8,248.3,25.4,6.25,20.5,1
7.05,277.7,308.9,28.9,6.18,37.8,1
5.86,108.1,205.2,21.6,5.6,26.7,0
6.56,573.3,261.2,26.5,4.88,28.7,0
7.09,151.9,318.2,21.3,7.65,29.0,1
6.08,176.2,219.6,25.3,8.25,33.0,0
7.3,247.2,179.6,27.2,4.93,30.1,0
6.52,454.6,63.6,24.4,5.9,29.6,1
6.77,301.7,193.3,26.7,5.46,24.8,1
6.52,151.7,265.9,22.1,5.5,14.3,1
8.48,450.5,275.7,20.0,7.42,18.8,1
6.99,387.7,240.3,26.7,4.43,37.2,0
6.15,364.6,156.7,30.2,6.56,26.9,0
7.66,385.9,41.9,22.0,6.87,23.4,1
6.02,587.3,160.4,28.7,5.83,15.9,0
7.17,562.2,175.7,25.1,7.07,12.8,1
5.43,217.6,175.0,21.0,6.18,23.0,0
5.94,494.9,249.5,21.6,7.46,38.9,0
7.16,346.0,358.9,25.0,4.17,24.4,0
7.59,359.9,209.9,23.8,5.58,34.0,1
7.14,96.9,182.7,21.1,5.91,24.0,1
6.91,279.6,179.3,19.9,2.79,36.4,0
6.76,202.5,210.0,22.5,4.7,26.5,0
5.82,399.4,133.7,25.6,5.02,17.7,0
6.42,428.5,209.6,25.0,7.14,27.3,0
6.63,51.1,236.1,23.5,5.15,48.3,1
7.85,297.4,216.8,25.6,5.02,47.9,1
7.27,434.6,236.6,28.1,6.98,34.9,1
5.59,277.6,234.7,26.2,4.06,28.6,0
7.26,387.5,58.2,24.6,3.51,33.0,0
6.69,342.1,250.9,27.8,5.57,33.2,1
6.46,341.0,146.3,22.1,4.26,29.6,0
7.49,267.4,112.3,24.3,4.31,34.4,0
7.82,154.0,111.6,24.4,6.69,32.1,1
7.75,165.4,234.7,21.3,7.05,26.8,1
6.33,385.1,182.2,23.7,6.95,18.0,0
6.75,302.3,65.4,18.8,7.33,25.4,1
7.27,283.4,238.2,30.7,7.49,38.0,1
7.78,249.1,84.8,22.2,3.45,29.7,0
6.62,263.4,211.2,29.8,6.54,33.0,1
6.85,425.6,219.1,25.1,5.36,27.2,1
6.11,259.8,270.8,26.7,5.1,19.4,0
6.04,139.1,342.5,23.5,6.67,27.6,0
7.65,389.2,90.8,25.6,3.92,19.8,0
8.08,275.4,195.8,27.0,3.9,19.1,0
6.94,303.8,177.9,27.0,6.76,42.1,1
7.8,492.9,234.7,27.3,6.59,25.8,1
7.29,297.5,217.3,23.9,6.16,22.6,1
6.48,334.7,171.8,23.6,4.94,46.2,0
7.29,158.5,164.7,20.2,6.89,38.1,1
8.23,273.6,110.7,26.6,6.82,26.3,1
6.97,373.1,279.0,28.2,6.1,34.3,1
8.25,113.4,236.7,29.8,4.59,27.6,0
4.9,324.1,273.4,25.9,5.49,23.1,0
7.66,312.1,175.2,22.7,7.01,34.7,1
7.07,305.0,147.5,19.9,7.59,26.8,1
6.76,424.5,113.7,28.1,5.61,30.8,1
7.07,340.1,228.7,19.6,5.7,40.2,1
5.41,477.4,116.8,24.0,5.81,39.1,0
6.82,180.8,347.9,24.3,6.33,24.5,1
7.29,316.3,95.4,24.8,5.3,34.9,1
8.18,310.1,221.9,25.1,2.53,18.7,0
6.59,171.7,325.3,25.4,7.43,34.5,1
6.35,414.8,247.9,17.8,8.15,31.5,0
6.6,579.0,214.1,25.0,5.27,33.8,1
7.73,298.0,122.5,18.3,4.72,27.0,0
7.26,360.6,89.5,27.2,5.84,50.8,1
6.58,310.1,261.6,23.3,5.77,21.0,1
7.41,214.4,320.5,18.5,7.19,39.7,1
7.08,81.5,164.9,22.6,6.07,19.7,1
7.77,215.3,108.9,23.3,5.05,35.0,1
6.44,133.0,3.3,28.6,4.42,35.8,0
6.74,504.5,121.5,25.6,7.04,30.5,1
6.69,286.2,190.9,26.0,6.72,25.0,1
5.83,258.5,327.9,28.5,7.27,31.4,0
7.24,406.7,253.9,24.7,4.84,32.7,0
7.21,165.4,224.4,27.3,8.21,47.9,1
7.0,208.0,168.0,27.1,3.91,21.3,0
6.81,308.2,153.3,21.1,6.85,24.4,1
5.87,423.5,312.5,29.4,3.71,32.8,0
6.66,360.2,216.1,20.7,5.05,27.4,1
6.73,329.8,31.8,27.8,7.87,29.0,1
6.36,309.4,146.1,20.4,7.0,40.7,0
6.87,348.0,131.3,26.8,5.34,1.8,1
7.32,324.2,156.3,30.6,5.38,24.0,1
8.51,176.4,245.0,24.4,6.12,12.6,0
7.14,305.5,191.4,24.2,6.62,18.0,1
7.21,171.2,193.9,26.8,7.5,54.0,1
6.94,309.7,305.1,24.0,5.45,36.0,1
5.46,242.3,144.3,30.5,4.07,39.5,0
6.98,604.7,349.1,25.6,6.19,29.2,1
7.05,295.2,146.3,24.0,5.45,37.6,1
8.97,131.5,207.1,23.4,4.44,12.3,0
6.85,283.9,177.5,22.2,6.36,40.4,1
7.24,362.3,209.9,23.1,5.74,21.8,1
6.97,500.8,235.6,23.9,6.37,24.7,1
6.07,229.3,234.7,23.5,4.93,35.1,0
7.91,110.1,139.8,23.0,6.58,33.2,1
7.6,398.0,110.2,31.3,4.42,30.8,0
7.63,134.3,400.3,21.9,5.01,16.4,1
6.27,247.7,161.3,25.4,5.71,31.0,0
8.12,269.1,255.9,26.8,8.09,39.6,1
5.88,291.6,71.4,26.9,6.94,24.7,0
7.47,382.7,177.6,24.8,7.29,43.1,1
8.75,218.0,189.8,24.3,7.7,21.3,0
6.21,267.2,237.8,26.4,10.32,30.1,0
6.55,298.3,-17.8,25.8,6.05,45.4,1
7.08,318.0,213.3,24.2,7.7,23.2,1
6.6,311.7,108.0,20.3,7.22,40.5,1
5.76,352.3,225.9,23.6,7.2,49.7,0
7.05,401.3,117.1,21.6,8.13,31.7,1
6.15,347.1,131.6,23.0,5.5,24.7,0
7.38,354.4,178.1,25.1,5.4,22.3,1
6.26,110.1,115.8,26.1,6.38,43.0,0
8.24,306.0,162.0,30.3,5.78,42.8,1
6.37,357.5,104.5,23.4,6.38,44.5,0
6.74,387.5,53.3,27.3,7.88,29.7,1
7.65,216.9,281.4,25.9,5.43,40.4,1
6.02,220.9,96.3,28.9,5.63,29.5,0
7.18,231.1,185.7,26.7,6.21,21.2,1
8.05,364.4,260.2,22.0,5.73,41.2,1
5.71,424.1,150.8,19.8,3.7,46.3,0
7.15,251.1,134.0,25.9,5.3,19.8,1
7.21,409.0,218.1,23.4,6.82,19.6,1
7.63,314.8,289.4,22.1,7.73,30.4,1
6.01,285.1,106.5,21.2,4.61,39.6,0
5.94,274.6,188.0,25.5,4.61,18.7,0
7.42,389.6,61.4,29.5,6.04,32.3,1
7.24,339.1,168.5,23.8,3.51,24.1,0
7.2,573.1,202.7,26.8,5.47,37.0,1
7.28,197.7,131.6,24.7,3.92,22.0,0
6.46,362.2,163.4,21.1,7.64,37.7,0
7.19,236.5,87.3,27.2,5.08,28.4,1
7.23,195.7,206.2,21.7,7.98,20.6,1
6.43,298.7,284.5,25.1,7.34,30.6,0
8.49,316.5,112.2,24.0,5.22,10.6,1
